,Noun,Noun2,Noun3,Noun4,Noun5,,,,,,,,,,,,,,,,,
0,responsibility,The service provider,Other general queries,this Customer Care Database,the actions,,,,,,,,,,,,,,,,,
1,Service Providers,Any loss,load information,we,the customer care database,,,,,,,,,,,,,,,,,
2,the customer,Customer Care services,a server,the Service Provider,issues,,,,,,,,,,,,,,,,,
3,large amounts,the user,the bank,customers,card payment,,,,Noun,Reject Reason,Noun2,Reject Reason3,Noun4,Reject Reason5,Noun,Reject Reason,Noun2,Reject Reason3,Noun4,Reject Reason5,Noun6,Reject Reason7
4,The data,capacity planning,Some classes,the following functions,the Administrator,,,,all the people,General,various kinds,Vague,the customer care database,General,extraordinary events,Vague,a user-friendly and hassle-free experience,Associations,a wide variety,Vague,past 1-year transactions,Attributes
5,new users,the customer’s bank accounts,a confirmation,them,funds,,,,a cheque,Duplicates,valid Username,Attributes,issues,General,The customer,Duplicates,Scalability,Associations,It,Dulpicate,every account,Vague
6,the customer care,The updated database,she,a few payments,explicit authority,,,,him,General,information,General,card payment,Associations,complete edit,Associations,They,General,a few days,General,a record,General
7,which account,a camera,that particular service,order,His role,,,,General,General,better insights,Irrelevent,certain fields,Vague,the Administrator,Dulpicate,its customers,Duplicates,accounts,Attributes,the expectations,Vague
8,these operations,his history,constructive solutions,their services/products,online payment,,,,services/ products,General,customers,Duplicates,their account status,Attributes,funds,General,RAM,Irrelevent,queries,Dulpicate,installation configuration,Vague
9,Customers,more than one bank account,the purview,the Service Providers,admin privileges,,,,new users,Duplicates,every customer,Duplicates,Other general queries,General,explicit authority,Vague,A secure way,Associations,We,General,this case,Vague
10,the login credentials,the admin,the system,Processor,Online shopping,,,,New users,Duplicates,this Customer Care Database,General,load information,General,His role,Irrelevant,their items,Vague,the changes,General,recurring payments,Duplicates
11,services,the cheque book,Bank staff,1 GB,the easiest way,,,,the end users,Duplicates,we,General,the bank,Duplicates,admin privileges,Attributes,the same bank,Duplicates,the service providers/admin,Dulpicate,their existing accounts,Attributes
12,a particular account,their queries,their service,the opportunity,their products,,,,the admin,Duplicates,the Service Provider,Attributes,Some classes,General,the easiest way,Vague,any account,General,none,General,the bank balance,Attributes
13,their own account,the service provider,a lower sense,the immediate needs,This section,,,,the customer care centre,General,the following functions,Irrelevant,a confirmation,Attributes,their products,Vague,the usability,Associations,Their primary role,Vague,the bills,Attributes
14,a valid session,past 1-year transactions,the services,their owned bank accounts,highly scaled systems,,,,Financial Institutions,General,them,General,she,General,This section,General,the functions,Vague,policy changes,Attributes,exclusive tasks,General
15,1 GHz,the customer care centre,validation,the aforementioned database,The bank,,,,cloud servers,Irrelevent,a few payments,Attributes,that particular service,general,highly scaled systems,Irrelevant,Any loss,Vague,bank,Dulpicate,regards,Vague
16,his bank balance,Financial Institutions,an auditor,faulty transactions,you,,,,a server,General,the Service Providers,Attributes,constructive solutions,Associations,The bank,General,Customer Care services,Duplicates,a proper database,General,your account,Attributes
17,Various functional modules,every account,the moment,complete reconfiguration,the branch,,,,the user pool,General,Processor,Irrelevant,the purview,Vague,you,General,the user,Duplicates,Memory,Irrelevant,no card payment machine,Irrelevent
18,a bank,a record,Auditors,other valid accounts,an array,,,,Bank staff,Attributes,1 GB,Irrelevant,the system,General,the branch,Attributes,capacity planning,General,Distributed Database Systems,General,proper provisions,General
19,This product,the expectations,any other person,the balance details,a new account,,,,the customer,Duplicates,the opportunity,General,their service,Attributes,an array,Vague,the customer's bank accounts,Attributes,Username,Dulpicate,he,General
20,money,installation configuration,the profile,a new cheque book,User ID,,,,a bank,Duplicates,the immediate needs,Attributes,a lower sense,Vague,a new account,Attributes,The updated database,Associations,the administrator,Dulpicate,different user classes,General
21,secrecy,this case,regard,4 GB,login,,,,A customer,Duplicates,the aforementioned database,Vague,the services,Attributes,User ID,Attributes,a camera,Irrelevent,the balance,Attributes,different pages,Vague
